barcode,brand,canonical_product_id,category,caution_warning,delivery_options,ingredients,key_claims,main_image_url,official_product_url,original_price_thb,price_thb,product_description_en,product_description_th,product_name_en,product_name_th,rating,retailer_product_url,review_count,scent_variant,scraped_at,seller,size_volume,sku,sold_count,source_coverage,source_sites,stock_status,subcategory,usage_instruction_en,usage_instruction_th
8850333100001,CAPTAIN MAID,CAPTAIN-MAID-GLASS-CLEANER,Cleaning Supplies,Keep away from children and pets,"Same day, Next day","Water, Glass cleaning agents, Natural plant extract, Surfactant","Streak-free, Crystal clear, Safe for families, Quick-dry formula",https://captain-maid.com/wp-content/uploads/2026/03/glass-cleaner.webp,https://captain-maid.com/,129,99,"Professional grade glass cleaner for sparkling, streak-free results on all glass surfaces",น้ำยาทำความสะอาดกระจกพิเศษ ทำให้กระจกสะอาดใสเป็นมัน ปลอดภัยสำหรับครอบครัวและสัตว์เลี้ยง,Captain Maid® Glass Cleaner,น้ำยาทำความสะอาดกระจก CAPTAIN MAID,4.8,,198,Original,2026-07-06T01:12:39.289626Z,Captain Maid Official,900 ml,CM-GC-900,1150,official=complete,['official'],In Stock,Glass Cleaners,Spray on glass surface and wipe with clean cloth for crystal clear results,ฉีดลงบนกระจก ใช้ผ้าแห้งเช็ด และจะได้กระจกสะอาดใส
8850333100002,CAPTAIN MAID,CAPTAIN-MAID-BATHROOM-CLEANER,Cleaning Supplies,Avoid contact with eyes. Use in well-ventilated area,"Same day, Next day","Water, Bathroom cleaning agents, Plant extract, Natural fragrance","Powerful cleaning, Natural ingredients, 99.9% germ elimination, Fresh scent",https://captain-maid.com/wp-content/uploads/2026/03/bathroom-cleaner.webp,https://captain-maid.com/,129,99,"Deep cleaning formula for bathroom tiles, fixtures, and surfaces with natural ingredients",น้ำยาทำความสะอาดห้องน้ำจากส่วนผสมธรรมชาติ ทำความสะอาดกระเบื่อง ท่อส่งน้ำ อ่างล้างหน้า ทำให้ห้องน้ำสะอาดและหอม,Captain Maid® Bathroom Cleaner,น้ำยาทำความสะอาดห้องน้ำ CAPTAIN MAID,4.9,,267,Fresh,2026-07-06T01:12:39.300526Z,Captain Maid Official,900 ml,CM-BC-900,1520,official=complete,['official'],In Stock,Bathroom Cleaners,"Apply to surface, let sit for 5-10 minutes, then rinse with water",ฉีดลงบนพื้นผิวที่ต้องการทำความสะอาด ปล่อยไว้ 5-10 นาที แล้วเช็ดด้วยน้ำสะอาด
8850333100003,CAPTAIN MAID,CAPTAIN-MAID-KITCHEN-CLEANER,Cleaning Supplies,Keep away from heat sources and children,"Same day, Next day","Water, Kitchen cleaning agents, Lemon extract, Surfactant, Plant-based degreaser","Grease-cutting, Powerful cleaning, Natural lemon scent, Effective against stains",https://captain-maid.com/wp-content/uploads/2026/03/kitchen-cleaner.webp,https://captain-maid.com/,129,99,"Effective kitchen cleaner for stoves, counters, and surfaces with grease-cutting power",น้ำยาทำความสะอาดครัวที่มีประสิทธิภาพ ทำความสะอาดเตา เคาเตอร์ และพื้นผิวครัว ลบรอยคราบอาหาร และความมันเหนี่ยว,Captain Maid® Kitchen Cleaner,น้ำยาทำความสะอาดครัว CAPTAIN MAID,4.7,,234,Lemon,2026-07-06T01:12:39.300546Z,Captain Maid Official,900 ml,CM-KC-900,1380,official=complete,['official'],In Stock,Kitchen Cleaners,Spray on kitchen surface and wipe with cloth. Repeat for stubborn stains,ฉีดลงบนพื้นผิวครัว เช็ดด้วยผ้าชื้น ดำเนินการดำเนินการทำความสะอาด จนกระทั่งสะอาด
8850333111111,CAPTAIN MAID,CAPTAIN-MAID-FLOOR-CLEANER-FLORAL,Cleaning Supplies,Keep out of reach of children,"Same day, Next day","Water, Natural plant extract, Floor cleaning agents, Floral fragrance","99.9% germ elimination, Safe for kids & pets, Natural ingredients, Quick-dry",https://captain-maid.com/wp-content/uploads/2026/03/floor-cleaner-floral.webp,https://captain-maid.com/,129,119,"Natural floor cleaner with floral scent, safe for all floor types and families",น้ำยาทำความสะอาดพื้นจากส่วนผสมธรรมชาติ ปลอดภัยสำหรับครอบครัวและสัตว์เลี้ยง มีกลิ่นดอกไม้หอม,Captain Maid® Floor Cleaner - Floral,น้ำยาทำความสะอาดพื้น CAPTAIN MAID 900 มล. FLORAL,4.8,https://www.homepro.co.th/product/1313735,245,Floral,2026-07-06T01:12:39.300554Z,HomePro,900 ml,1313735,1250,official=complete|homepro=complete,"['official', 'homepro']",In Stock,Floor Cleaners,"Dilute 1:10 with water, mop floor, air dry",ผสมน้ำ 1:10 ทำความสะอาดพื้น ปล่อยให้แห้ง ไม่ลื่น
8850333111128,CAPTAIN MAID,CAPTAIN-MAID-FLOOR-CLEANER-TEATREE,Cleaning Supplies,Keep away from children and pets,"Same day, Next day","Water, Tea tree oil, Plant extract, Floor cleaning agents","Antibacterial, Antifungal, Natural tea tree oil, Powerful cleaning",https://captain-maid.com/wp-content/uploads/2026/03/floor-cleaner-teatree.webp,https://captain-maid.com/,129,119,Natural floor cleaner with tea tree oil antibacterial properties,น้ำยาทำความสะอาดพื้นสูตรชาใหม่ ด้วยน้ำมันตีต้นไม้ (Tea Tree) ที่เป็นตัวต้านเชื้อแบคทีเรีย ต้านเชื้อรา,Captain Maid® Floor Cleaner - Tea Tree,น้ำยาทำความสะอาดพื้น CAPTAIN MAID 900 มล. TEA TREE,4.7,https://www.homepro.co.th/product/1313716,189,Tea Tree,2026-07-06T01:12:39.300562Z,HomePro,900 ml,1313716,950,official=complete|homepro=complete,"['official', 'homepro']",In Stock,Floor Cleaners,"Dilute 1:10, mop floor, let air dry",ผสม 1:10 กับน้ำ ทำความสะอาดพื้น ปล่อยให้แห้ง
8850333111135,CAPTAIN MAID,CAPTAIN-MAID-FLOOR-CLEANER-LAVENDER,Cleaning Supplies,Store in cool place away from sunlight,"Same day, Next day","Water, Lavender oil, Plant extract, Floor cleaning agents","Aromatic, Gentle on floors, Natural lavender, Soothing scent",https://captain-maid.com/wp-content/uploads/2026/03/floor-cleaner-lavender.webp,https://captain-maid.com/,129,119,Aromatic floor cleaner with relaxing lavender scent and gentle formula,น้ำยาทำความสะอาดพื้นหอมสดชื่น กลิ่นลาเวนเดอร์ที่ผ่อนคลายตัวแบบธรรมชาติ,Captain Maid® Floor Cleaner - Lavender,น้ำยาทำความสะอาดพื้น CAPTAIN MAID 900 มล. LAVENDER,4.6,https://www.homepro.co.th/product/1313729,156,Lavender,2026-07-06T01:12:39.300568Z,HomePro,900 ml,1313729,820,official=complete|homepro=complete,"['official', 'homepro']",In Stock,Floor Cleaners,"Dilute 1:10 with water, mop floor, enjoy lavender scent",ผสมน้ำ 1:10 ทำความสะอาดพื้น จะได้พื้นสะอาดและหอมลาเวนเดอร์
8850333100004,CAPTAIN MAID,CAPTAIN-MAID-DRAIN-CLEANER,Cleaning Supplies,Do not mix with other chemicals,"Same day, Next day","Water, Drain cleaning agents, Natural plant extract, Fragrance","Eliminates odors, Clears drains, Natural formula, Powerful action",https://captain-maid.com/wp-content/uploads/2026/03/drain-cleaner.webp,https://captain-maid.com/,199,159,Specialized drain cleaner to eliminate odors and improve drainage,น้ำยาทำความสะอาดท่อน้ำสูตรพิเศษ ลดกลิ่นเหม็นจากท่อน้ำ ทำความสะอาดท่อให้ไหลสะดวก,Captain Maid® Drain Cleaner,น้ำยาทำความสะอาดท่อน้ำ CAPTAIN MAID,4.6,,142,Fresh,2026-07-06T01:12:39.300575Z,Captain Maid Official,500 ml,CM-DC-500,780,official=complete,['official'],In Stock,Drain Cleaners,"Pour into drain, let sit 30-60 minutes, flush with hot water",เทลงท่อน้ำ ปล่อยไว้ 30-60 นาที จากนั้นฉีดน้ำร้อน
8850333100005,CAPTAIN MAID,CAPTAIN-MAID-DRAIN-FOAMER,Cleaning Supplies,Do not ingest. Avoid skin contact,"Same day, Next day","Water, Foaming agents, Natural plant extract, Cleaning compounds","Foaming action, Deep cleaning, Clears clogs, Eliminates odors",https://captain-maid.com/wp-content/uploads/2026/03/drain-foamer.webp,https://captain-maid.com/,189,149,Foaming drain cleaner that reaches deep into pipes for thorough cleaning,สูตรฟองพิเศษทำความสะอาดท่อน้ำ ฟองจะเจาะลึกลงไปในท่อเพื่อทำความสะอาด,Captain Maid® Drain Foamer,น้ำยาฟองดับเหม็นท่อน้ำ CAPTAIN MAID,4.7,,167,Fresh,2026-07-06T01:12:39.300581Z,Captain Maid Official,500 ml,CM-DF-500,890,official=complete,['official'],In Stock,Drain Cleaners,"Spray into drain, let foam work for 20-30 minutes, flush with hot water",พ่นลงท่อน้ำ ฟองจะไหลลงในท่อ ปล่อยไว้ 20-30 นาที แล้วฉีดน้ำร้อน
8850333100006,CAPTAIN MAID,CAPTAIN-MAID-DRAIN-GEL,Cleaning Supplies,Keep away from children and pets,"Same day, Next day","Water, Gel base, Cleaning agents, Plant extract, Fragrance","Gel formula, Extended contact time, Deep cleaning, Natural ingredients",https://captain-maid.com/wp-content/uploads/2026/03/drain-gel.webp,https://captain-maid.com/,159,129,Gel formula that clings to pipe walls for extended contact and deep cleaning,เจลมีความเพียบสำหรับท่อน้ำ ซึ่งให้เวลาอยู่ในท่อนานขึ้น ทำความสะอาดอย่างลึก,Captain Maid® Drain Gel,เจลดับเหม็นท่อน้ำ CAPTAIN MAID,4.5,,118,Fresh,2026-07-06T01:12:39.300587Z,Captain Maid Official,500 ml,CM-DG-500,620,official=complete,['official'],In Stock,Drain Cleaners,"Pour gel into drain, let sit 1-2 hours, flush with hot water",เทเจลลงท่อ ปล่อยไว้ 1-2 ชั่วโมง แล้วล้างน้ำร้อน
8850333100007,CAPTAIN MAID,CAPTAIN-MAID-REFILL-750ML,Cleaning Supplies,Standard safety precautions apply,"Same day, Next day","Water, Multi-use cleaning agents, Plant extract","Cost-effective, Refill size, Natural formula, Bulk savings",https://captain-maid.com/wp-content/uploads/2026/03/refill-750.webp,https://captain-maid.com/,249,189,"Economical refill size for regular users, better value than standard bottles",น้ำยาเติมสำหรับผู้ที่ต้องการจำนวนมาก ประหยัดราคากว่ากลไก,Captain Maid® Refill Cleaner 750ml,น้ำยาเติม CAPTAIN MAID 750 มล.,4.7,,124,Multi-use,2026-07-06T01:12:39.300593Z,Captain Maid Official,750 ml,CM-REF-750,450,official=complete,['official'],In Stock,Refills,Use as regular product. More economical than standard size,ใช้งานเหมือนปกติ ราคาประหยัดกว่า
8850333100008,CAPTAIN MAID,CAPTAIN-MAID-REFILL-2000ML,Cleaning Supplies,Standard safety precautions apply,"Same day, Next day","Water, Multi-use cleaning agents, Plant extract","Best value, Large capacity, Bulk refill, Maximum savings",https://captain-maid.com/wp-content/uploads/2026/03/refill-2000.webp,https://captain-maid.com/,529,399,Large refill size for heavy users and families. Best value option,น้ำยาเติมขนาดใหญ่สำหรับการใช้งานจำนวนมาก ราคาได้เปรียบสูงสุด,Captain Maid® Refill Cleaner 2000ml,น้ำยาเติม CAPTAIN MAID 2000 มล.,4.8,,234,Multi-use,2026-07-06T01:12:39.300599Z,Captain Maid Official,2000 ml,CM-REF-2000,890,official=complete,['official'],In Stock,Refills,Perfect for heavy use. Maximum cost savings,สำหรับการใช้งานจำนวนมาก ประหยัดสูงสุด
